channel,train_mean_real,train_mean_fake,effect_size_fake_minus_real,absolute_effect_size,overall_train_variance,rank_by_absolute_effect
1250,0.64266866,-0.055852886,-0.3283112146874353,0.3283112146874353,4.464285,518
757,0.27218747,0.1766944,-0.32715986513592643,0.32715986513592643,0.08585267,519
388,0.021085784,0.20537417,0.32714251228479074,0.32714251228479074,0.3248337,520
925,0.22956292,0.09991886,-0.32644927476756813,0.32644927476756813,0.15834902,521
618,-0.032662157,0.088089794,0.32548793291068767,0.32548793291068767,0.13754977,522
1190,0.27674782,0.18488234,-0.3254380273441324,0.3254380273441324,0.0797626,523
682,-0.75478077,-1.0640076,-0.3254283585143496,0.3254283585143496,0.9017546,524
1025,0.023936141,0.10524094,0.3252405666414718,0.3252405666414718,0.061856948,525
356,0.059191342,0.13303915,0.3248118987940142,0.3248118987940142,0.052216224,526
1221,-0.41959673,-0.2417633,0.3236799421473017,0.3236799421473017,0.30618253,527
348,-0.5066634,-0.337973,0.32266911383455305,0.32266911383455305,0.2766765,528
963,-0.32528958,-0.48021626,-0.321431772917786,0.321431772917786,0.23004203,529
781,0.061581988,0.17589514,0.32007282897061257,0.32007282897061257,0.12752709,530
1144,0.6323114,0.4305614,-0.31950215173353624,0.31950215173353624,0.40473118,531
71,-0.026471585,0.07604958,0.3189059722757749,0.3189059722757749,0.10182792,532
347,0.066468425,0.1659152,0.31859909777643014,0.31859909777643014,0.09534231,533
570,-0.062683016,0.117532775,0.3183971169797535,0.3183971169797535,0.3300563,534
1208,-1.3450142,-1.5150267,-0.31826354663207596,0.31826354663207596,0.29771617,535
847,0.14219691,0.2544607,0.3178570260692792,0.3178570260692792,0.124524705,536
160,0.12687288,0.1949025,0.3171411292488196,0.3171411292488196,0.045986723,537
654,0.27079117,0.16701037,-0.31687160443102963,0.31687160443102963,0.104528956,538
319,-1.803466,-1.6174691,0.3167548572639563,0.3167548572639563,0.35364854,539
1036,-1.7339275,-1.9590635,-0.31611447965735107,0.31611447965735107,0.52037716,540
168,-0.675919,-0.9211369,-0.3135697438968771,0.3135697438968771,0.63128096,541
639,-1.1621748,-0.85113716,0.3131989048633575,0.3131989048633575,0.9572068,542
524,0.045547225,-0.14500397,-0.31256161032044394,0.31256161032044394,0.37786782,543
239,0.11187587,0.206466,0.3116874612469646,0.3116874612469646,0.0923413,544
1097,-0.07183096,0.009625162,0.31075763447610566,0.31075763447610566,0.069155715,545
1152,-0.16796613,0.17453647,0.3103521435577337,0.3103521435577337,1.2878456,546
540,0.18714583,0.3489524,0.3101053388581217,0.3101053388581217,0.2770969,547
125,0.21670705,0.07383784,-0.30989985783460755,0.30989985783460755,0.2073893,548
121,0.15528004,-0.101365745,-0.3097411874883349,0.3097411874883349,0.676874,549
790,0.312042,0.21951535,-0.309453381129544,0.309453381129544,0.08776902,550
978,0.19604129,0.112286985,-0.3088500804557896,0.3088500804557896,0.07331433,551
318,0.09874625,-0.1564216,-0.30864800737831893,0.30864800737831893,0.65658253,552
391,0.15375517,-0.29847264,-0.30830493165786166,0.30830493165786166,2.143423,553
396,-0.47606134,-0.30400968,0.30807273000688934,0.30807273000688934,0.31496832,554
605,0.36282796,0.2510309,-0.30775518856982503,0.30775518856982503,0.1289219,555
87,0.16947883,0.29412168,0.30759485271553233,0.30759485271553233,0.1651765,556
31,0.13864502,0.31754267,0.3072563259563678,0.3072563259563678,0.35531336,557
109,-0.0036518378,0.07621627,0.306720536470723,0.306720536470723,0.068369515,558
1182,-0.13232395,-0.34175077,-0.30661762405433585,0.30661762405433585,0.46434906,559
1279,-0.011828031,0.098924294,0.30647079968147056,0.30647079968147056,0.13046071,560
507,0.26028436,-0.16143051,-0.3061236748771326,0.3061236748771326,1.9821194,561
1022,-0.021034732,0.17826003,0.3049154794294602,0.3049154794294602,0.4330895,562
487,-1.2780808,-1.6312807,-0.3048473714398984,0.3048473714398984,1.3313184,563
687,-1.1048454,-0.94013053,0.3041796616743928,0.3041796616743928,0.28657714,564
899,0.12756106,0.26179487,0.3033272787879281,0.3033272787879281,0.19354804,565
532,-0.9369024,-1.230585,-0.3010714732370243,0.3010714732370243,0.9727387,566
381,0.40402523,0.2795251,-0.3005423490390132,0.3005423490390132,0.17520581,567
32,-0.08656941,-0.37021434,-0.30006159517725645,0.30006159517725645,0.92101717,568
987,0.27913675,0.024718488,-0.29957848702082646,0.29957848702082646,0.74163544,569
505,0.05208191,-0.03979647,-0.2985680566838847,0.2985680566838847,0.097386606,570
668,0.38465995,0.3011372,-0.2985135717045853,0.2985135717045853,0.077784404,571
246,0.1085636,0.18282263,0.29843431279803834,0.29843431279803834,0.06318649,572
907,-0.3255207,-0.21982816,0.29804274828788796,0.29804274828788796,0.1290797,573
91,0.21062577,0.54517764,0.297872912788797,0.297872912788797,1.2855608,574
622,0.9583254,0.44543174,-0.2976074932895488,0.2976074932895488,2.9833605,575
80,-1.3941284,-1.1578423,0.2972664305279059,0.2972664305279059,0.6294823,576
430,-0.8334382,-1.0839105,-0.2963819152106123,0.2963819152106123,0.7079518,577
424,0.2268815,0.13002576,-0.2953503219726158,0.2953503219726158,0.109568484,578
738,0.2323181,0.3311006,0.29468244972681845,0.29468244972681845,0.11272578,579
631,-0.95411783,-1.1437775,-0.29421673669009757,0.29421673669009757,0.41000307,580
552,0.27101338,0.19860247,-0.2935265632784981,0.2935265632784981,0.0611642,581
1071,0.3035231,0.19703177,-0.29351580129224336,0.29351580129224336,0.13633157,582
1212,0.20190021,0.07523164,-0.2931236076387766,0.2931236076387766,0.18593098,583
83,-0.550933,-0.34032235,0.2922317258219461,0.2922317258219461,0.5391895,584
1042,-0.06933414,0.020840041,0.2920484185244174,0.2920484185244174,0.09584124,585
643,-0.188505,-0.42801,-0.2916511272215317,0.2916511272215317,0.6709257,586
1180,2.420194,3.2423768,0.2915651445266528,0.2915651445266528,8.093359,587
57,-3.125056,-2.8958762,0.29080191071038336,0.29080191071038336,0.6542372,588
1266,-0.12869777,0.038174372,0.2898867454511135,0.2898867454511135,0.33908215,589
887,-0.50191385,-0.3098047,0.28956959391626186,0.28956959391626186,0.47026145,590
181,0.1418245,-0.12697102,-0.28954022074918206,0.28954022074918206,0.8244965,591
898,0.07613905,0.1541663,0.289412203176022,0.289412203176022,0.07202726,592
349,0.28303537,0.21976112,-0.28916547752944577,0.28916547752944577,0.0489212,593
210,0.38588434,0.2926948,-0.2890667282068831,0.2890667282068831,0.10159852,594
262,0.11337429,0.0015991338,-0.28729275310293795,0.28729275310293795,0.15097035,595
710,0.33648005,0.25742763,-0.28720907373212273,0.28720907373212273,0.0745192,596
769,-0.35656875,-0.5158498,-0.28640927344655037,0.28640927344655037,0.31450614,597
915,0.43566748,0.33391964,-0.28584584393448254,0.28584584393448254,0.12842149,598
702,0.04229064,0.13241266,0.28583810662285375,0.28583810662285375,0.095926546,599
801,-0.14606552,-0.24970502,-0.28535049596091305,0.28535049596091305,0.13191289,600
1048,0.22564407,0.1460601,-0.2852036915891028,0.2852036915891028,0.07913314,601
793,0.14908248,0.050616693,-0.2849112427067403,0.2849112427067403,0.11749231,602
1018,0.48861492,0.19309121,-0.28490669336852725,0.28490669336852725,1.1059362,603
882,0.1371319,0.21509124,0.28425517481642315,0.28425517481642315,0.07538715,604
838,0.15893424,0.09015326,-0.2840082179778496,0.2840082179778496,0.05866725,605
